id,filename,sample,specimen,specimen_sample,Taxon,Genus,Family,Order,Class,Formation,Treatment,AcquisitionBy
s001,aj27_atr_64s_4cm_s01.dat,AJ027H,MB.Pb.2010/82,MB.Pb.2010/82   ,Asterotheca cf. thalensis,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Erfurt Fm.,Macerated,HN
s002,aj27_atr_64s_4cm_s02.dat,AJ027H,MB.Pb.2010/82,MB.Pb.2010/82   ,Asterotheca cf. thalensis,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Erfurt Fm.,Macerated,HN
s003,as001_atr_64s_4cm_ob01a.dat,AS001,1878B/0006/9946,1878B/0006/9946   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s004,as001_atr_64s_4cm_ob01b.dat,AS001,1878B/0006/9946,1878B/0006/9946   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s005,as001_atr_64s_4cm_ob02a.dat,AS001,1878B/0006/9946,1878B/0006/9946   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s006,as001_atr_64s_4cm_ob02b.dat,AS001,1878B/0006/9946,1878B/0006/9946   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s007,as008_atr_64s_4cm_ob01b.dat,AS008,1884/0012/1214,1884/0012/1214 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s008,as008_atr_64s_4cm_ob01c.dat,AS008,1884/0012/1214,1884/0012/1214 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s009,as015_atr_64s_4cm_ob01a.dat,AS015,1885/0012/3939,1885/0012/3939 (1),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s010,as015_atr_64s_4cm_ob01b.dat,AS015,1885/0012/3939,1885/0012/3939 (1),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s011,as015_atr_64s_4cm_ob02a.dat,AS015,1885/0012/3939,1885/0012/3939 (1),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s012,as015_atr_64s_4cm_ob02c.dat,AS015,1885/0012/3939,1885/0012/3939 (1),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s013,as015_atr_64s_4cm_ob02d.dat,AS015,1885/0012/3939,1885/0012/3939 (1),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s014,as017_atr_64s_4cm_ob01a.dat,AS017,1885/0012/3939,1885/0012/3939 (4),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s015,as017_atr_64s_4cm_ob01b.dat,AS017,1885/0012/3939,1885/0012/3939 (4),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s016,as017_atr_64s_4cm_ob01c.dat,AS017,1885/0012/3939,1885/0012/3939 (4),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s017,as028_atr_64s_4cm_ob01a.dat,AS028,1882/0013/3059,1882/0013/3059 (3),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s018,as029_atr_64s_4cm_ob01a.dat,AS029,1885/0012/3939,1885/0012/3939 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s019,as029_atr_64s_4cm_ob01b.dat,AS029,1885/0012/3939,1885/0012/3939 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s020,as029_atr_64s_4cm_ob01c.dat,AS029,1885/0012/3939,1885/0012/3939 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s021,as029_atr_64s_4cm_ob02a.dat,AS029,1885/0012/3939,1885/0012/3939 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s022,as029_atr_64s_4cm_ob02b.dat,AS029,1885/0012/3939,1885/0012/3939 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s023,as030_atr_64s_4cm_ob01a.dat,AS030,1885/0012/4069,1885/0012/4069 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s024,as030_atr_64s_4cm_ob01b.dat,AS030,1885/0012/4069,1885/0012/4069 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s025,as031_atr_64s_4cm_ob01a.dat,AS031,2019/0185/0003,2019/0185/0003   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s026,as031_atr_64s_4cm_ob01b.dat,AS031,2019/0185/0003,2019/0185/0003   ,Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
s027,as035_atr_64s_4cm_ob01a.dat,AS035,2010/0102/0183,2010/0102/0183 (2),Asterotheca merianii,Asterotheca,Psaroniaceae,Marattiales,Marattiopsida,Lunz Fm.,Macerated,MK
